[info]: OpenGL backend
[info]: Vendor: AMD
[debug]: profiler block update game: (9140432 cycles, 1 calls)
[debug]: profiler block update_sound: (127408 cycles, 1 calls)
[debug]: profiler block move_entity: (2761747 cycles, 1 calls)
[debug]: profiler block update game: (2779055 cycles, 1 calls)
[debug]: profiler block update_sound: (104981 cycles, 1 calls)
[debug]: profiler block move_entity: (3994062 cycles, 1 calls)
[debug]: profiler block update game: (4015414 cycles, 1 calls)
[debug]: profiler block update_sound: (102166 cycles, 1 calls)
[debug]: profiler block move_entity: (3977547 cycles, 1 calls)
[debug]: profiler block update game: (3991140 cycles, 1 calls)
[debug]: profiler block update_sound: (103675 cycles, 1 calls)
[debug]: profiler block move_entity: (3996598 cycles, 1 calls)
[debug]: profiler block update game: (4012364 cycles, 1 calls)
[debug]: profiler block update_sound: (112924 cycles, 1 calls)
[debug]: profiler block move_entity: (4026186 cycles, 1 calls)
[debug]: profiler block update game: (4041066 cycles, 1 calls)
[debug]: profiler block update_sound: (103533 cycles, 1 calls)
[debug]: profiler block move_entity: (4031207 cycles, 1 calls)
[debug]: profiler block update game: (4045121 cycles, 1 calls)
[debug]: profiler block update_sound: (108825 cycles, 1 calls)
[debug]: profiler block move_entity: (4060662 cycles, 1 calls)
[debug]: profiler block update game: (4075236 cycles, 1 calls)
[debug]: profiler block update_sound: (102639 cycles, 1 calls)
[debug]: profiler block move_entity: (4053072 cycles, 1 calls)
[debug]: profiler block update game: (4070731 cycles, 1 calls)
[debug]: profiler block update_sound: (104803 cycles, 1 calls)
[debug]: profiler block move_entity: (4067588 cycles, 1 calls)
[debug]: profiler block update game: (4079273 cycles, 1 calls)
[debug]: profiler block update_sound: (104449 cycles, 1 calls)
[debug]: profiler block move_entity: (4027157 cycles, 1 calls)
[debug]: profiler block update game: (4039919 cycles, 1 calls)
[debug]: profiler block update_sound: (104514 cycles, 1 calls)
[debug]: profiler block move_entity: (4038371 cycles, 1 calls)
[debug]: profiler block update game: (4053370 cycles, 1 calls)
[debug]: profiler block update_sound: (105184 cycles, 1 calls)
[debug]: profiler block move_entity: (4028084 cycles, 1 calls)
[debug]: profiler block update game: (4042878 cycles, 1 calls)
[debug]: profiler block update_sound: (102878 cycles, 1 calls)
[debug]: profiler block move_entity: (4072510 cycles, 1 calls)
[debug]: profiler block update game: (4086101 cycles, 1 calls)
[debug]: profiler block update_sound: (108138 cycles, 1 calls)
[debug]: profiler block move_entity: (4095273 cycles, 1 calls)
[debug]: profiler block update game: (4114333 cycles, 1 calls)
[debug]: profiler block update_sound: (108885 cycles, 1 calls)
[debug]: profiler block move_entity: (3951915 cycles, 1 calls)
[debug]: profiler block update game: (3966315 cycles, 1 calls)
[debug]: profiler block update_sound: (103543 cycles, 1 calls)
[debug]: profiler block move_entity: (3931606 cycles, 1 calls)
[debug]: profiler block update game: (3955199 cycles, 1 calls)
[debug]: profiler block update_sound: (107724 cycles, 1 calls)
[debug]: profiler block move_entity: (4007300 cycles, 1 calls)
[debug]: profiler block update game: (4022733 cycles, 1 calls)
[debug]: profiler block update_sound: (121827 cycles, 1 calls)
[debug]: profiler block move_entity: (3999181 cycles, 1 calls)
[debug]: profiler block update game: (4018141 cycles, 1 calls)
[debug]: profiler block update_sound: (103286 cycles, 1 calls)
[debug]: profiler block move_entity: (4019613 cycles, 1 calls)
[debug]: profiler block update game: (4034417 cycles, 1 calls)
[debug]: profiler block update_sound: (108904 cycles, 1 calls)
[debug]: profiler block move_entity: (4100454 cycles, 1 calls)
[debug]: profiler block update game: (4115061 cycles, 1 calls)
[debug]: profiler block update_sound: (103048 cycles, 1 calls)
[debug]: profiler block move_entity: (4000582 cycles, 1 calls)
[debug]: profiler block update game: (4015609 cycles, 1 calls)
[debug]: profiler block update_sound: (112687 cycles, 1 calls)
[debug]: profiler block move_entity: (3993825 cycles, 1 calls)
[debug]: profiler block update game: (4007390 cycles, 1 calls)
[debug]: profiler block update_sound: (125885 cycles, 1 calls)
[debug]: profiler block move_entity: (4007488 cycles, 1 calls)
[debug]: profiler block update game: (4020885 cycles, 1 calls)
[debug]: profiler block update_sound: (110905 cycles, 1 calls)
[debug]: profiler block move_entity: (3969405 cycles, 1 calls)
[debug]: profiler block update game: (3983210 cycles, 1 calls)
[debug]: profiler block update_sound: (103565 cycles, 1 calls)
[debug]: profiler block move_entity: (4000963 cycles, 1 calls)
[debug]: profiler block update game: (4014018 cycles, 1 calls)
[debug]: profiler block update_sound: (101871 cycles, 1 calls)
[debug]: profiler block move_entity: (4128332 cycles, 1 calls)
[debug]: profiler block update game: (4142260 cycles, 1 calls)
[debug]: profiler block update_sound: (116317 cycles, 1 calls)
[debug]: profiler block move_entity: (4121755 cycles, 1 calls)
[debug]: profiler block update game: (4136118 cycles, 1 calls)
[debug]: profiler block update_sound: (122540 cycles, 1 calls)
[debug]: profiler block move_entity: (3920316 cycles, 1 calls)
[debug]: profiler block update game: (3933667 cycles, 1 calls)
[debug]: profiler block update_sound: (103864 cycles, 1 calls)
[debug]: profiler block move_entity: (3950082 cycles, 1 calls)
[debug]: profiler block update game: (3961532 cycles, 1 calls)
[debug]: profiler block update_sound: (115999 cycles, 1 calls)
[debug]: profiler block move_entity: (4045069 cycles, 1 calls)
[debug]: profiler block update game: (4058894 cycles, 1 calls)
[debug]: profiler block update_sound: (118203 cycles, 1 calls)
